input_time,sensor_name,temp,light,humid
2025-11-25 11:42:50,Parm-1,21,8683,55
2025-11-25 11:42:50,Parm-2,25,7201,58
2025-11-25 11:42:50,Parm-3,22,6915,64
2025-11-25 11:42:50,Parm-4,30,7061,43
2025-11-25 11:42:50,Parm-5,29,6260,97
2025-11-25 11:43:00,Parm-5,29,6111,42
2025-11-25 11:43:00,Parm-4,27,8792,51
2025-11-25 11:43:00,Parm-3,28,8284,53
2025-11-25 11:43:00,Parm-2,30,7293,68
2025-11-25 11:43:00,Parm-1,20,8038,95
2025-11-25 11:43:10,Parm-3,21,6262,67
2025-11-25 11:43:10,Parm-2,26,6178,66
2025-11-25 11:43:10,Parm-4,22,5664,45
2025-11-25 11:43:10,Parm-5,26,6712,60
2025-11-25 11:43:10,Parm-1,26,7967,67
2025-11-25 11:43:20,Parm-2,22,5460,48
2025-11-25 11:43:20,Parm-3,28,7333,99
2025-11-25 11:43:20,Parm-4,22,9824,64
2025-11-25 11:43:20,Parm-5,20,8927,100
2025-11-25 11:43:20,Parm-1,29,9117,41
2025-11-25 11:43:31,Parm-3,26,7755,55
2025-11-25 11:43:31,Parm-5,27,6715,70
2025-11-25 11:43:31,Parm-2,27,8759,46
2025-11-25 11:43:31,Parm-1,27,7169,51
2025-11-25 11:43:31,Parm-4,21,7188,67
2025-11-25 11:43:41,Parm-2,27,9172,41
2025-11-25 11:43:41,Parm-5,30,5573,49
2025-11-25 11:43:41,Parm-3,24,6798,94
2025-11-25 11:43:41,Parm-4,22,5559,49
2025-11-25 11:43:41,Parm-1,24,5886,44
