"시점","행정구역별(시군구)",일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원,일반가구원
"시점","행정구역별(시군구)",합계,합계,합계,15세미만,15세미만,15세미만,15~19세,15~19세,15~19세,20~24세,20~24세,20~24세,25~29세,25~29세,25~29세,30~34세,30~34세,30~34세,35~39세,35~39세,35~39세,40~44세,40~44세,40~44세,45~49세,45~49세,45~49세,50~54세,50~54세,50~54세,55~59세,55~59세,55~59세,60~64세,60~64세,60~64세,65~69세,65~69세,65~69세,70~74세,70~74세,70~74세,75~79세,75~79세,75~79세,80~84세,80~84세,80~84세,85세이상,85세이상,85세이상,15~64세,15~64세,15~64세,65세이상,65세이상,65세이상
"시점","행정구역별(시군구)",계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"2016","전국",48551348,23918710,24632638,6753076,3481573,3271503,2715405,1389440,1325965,2796573,1307200,1489373,3020163,1553308,1466855,3394882,1721682,1673200,3841035,1945667,1895368,4016679,2031332,1985347,4350652,2175889,2174763,4009442,2024438,1985004,4051464,2005872,2045592,2993155,1461092,1532063,2167736,1037162,1130574,1719775,778807,940968,1389176,574244,814932,839158,297651,541507,492977,133353,359624,35189450,17615920,17573530,6608822,2821217,3787605
"2017","전국",48614907,23973333,24641574,6613883,3405509,3208374,2573204,1316430,1256774,2750740,1284186,1466554,3109124,1607192,1501932,3210358,1635481,1574877,3898665,1977320,1921345,3904060,1970559,1933501,4386047,2204470,2181577,3981187,1999771,1981416,4141719,2054329,2087390,3156104,1543892,1612212,2266611,1087309,1179302,1726140,788759,937381,1498779,629439,869340,883675,322923,560752,514611,145764,368847,35111208,17593630,17517578,6889816,2974194,3915622
"2018","전국",48664922,24010719,24654203,6465942,3326313,3139629,2410324,1231502,1178822,2722228,1274923,1447305,3204366,1666722,1537644,3076625,1571238,1505387,3912833,1984850,1927983,3766795,1905601,1861194,4346252,2187202,2159050,4052597,2024653,2027944,4187673,2079143,2108530,3379781,1658753,1721028,2318804,1110664,1208140,1796606,829230,967376,1536930,651181,885749,938037,349291,588746,549129,159453,389676,35059474,17584587,17474887,7139506,3099819,4039687
"2019","전국",48674177,24029501,24644676,6296648,3236713,3059935,2262120,1152399,1109721,2676127,1266355,1409772,3284719,1713307,1571412,3023482,1549970,1473512,3789676,1924470,1865206,3698794,1869529,1829265,4289786,2162206,2127580,4169392,2078150,2091242,4140190,2059480,2080710,3578478,1754466,1824012,2430488,1166572,1263916,1888139,878584,1009555,1544916,659165,885751,1001174,379422,621752,600048,178713,421335,34912764,17530332,17382432,7464765,3262456,4202309
"2020","전국",49028727,24202134,24826593,6159722,3164157,2995565,2208752,1123049,1085703,2790465,1314905,1475560,3380057,1764662,1615395,3042091,1567009,1475082,3603275,1833161,1770114,3753646,1896599,1857047,4180070,2105204,2074866,4223008,2106684,2116324,4064377,2025737,2038640,3764489,1845468,1919021,2660010,1274792,1385218,1980075,923593,1056482,1540870,663226,877644,1032047,396905,635142,645773,196983,448790,35010230,17582478,17427752,7858775,3455499,4403276
"2021","전국",49063531,24270009,24793522,5991713,3076190,2915523,2090046,1067714,1022332,2670599,1284310,1386289,3400702,1778098,1622604,3091042,1597987,1493055,3424210,1744971,1679239,3832964,1940421,1892543,4002153,2018169,1983984,4336146,2160514,2175632,3958355,1986284,1972071,3988108,1955827,2032281,2902348,1394224,1508124,2042154,952588,1089566,1529990,666356,863634,1092367,425499,666868,710634,220857,489777,34794325,17534295,17260030,8277493,3659524,4617969
"2022","전국",48884646,24158441,24726205,5761421,2956777,2804644,2034726,1032405,1002321,2426051,1155623,1270428,3340182,1740315,1599867,3186443,1656507,1529936,3229820,1649081,1580739,3890212,1971862,1918350,3892193,1959171,1933022,4371363,2188927,2182436,3942578,1969066,1973512,4067484,1998098,2069386,3066136,1477597,1588539,2145118,1003649,1141469,1551840,682931,868909,1201647,473602,728045,777432,242830,534602,34381052,17321055,17059997,8742173,3880609,4861564
"2023","전국",48870498,24160916,24709582,5526647,2835487,2691160,2041679,1035272,1006407,2306069,1097570,1208499,3269300,1696812,1572488,3281148,1713691,1567457,3099533,1587411,1512122,3907718,1982266,1925452,3760321,1898861,1861460,4336806,2176341,2160465,4021368,2000125,2021243,4130986,2036225,2094761,3285735,1589756,1695979,2202791,1030442,1172349,1624330,722744,901586,1240617,493234,747383,835450,264679,570771,34154928,17224574,16930354,9188923,4100855,5088068
"2024","전국",48783236,24114897,24668339,5323384,2729407,2593977,2053300,1042357,1010943,2170949,1029629,1141320,3165669,1635491,1530178,3352888,1754821,1598067,3049503,1567979,1481524,3785299,1921886,1863413,3694906,1864000,1830906,4284455,2153521,2130934,4147758,2060019,2087739,4088625,2019248,2069377,3492058,1690238,1801820,2313594,1085255,1228339,1713222,769203,944019,1250747,501672,749075,896879,290171,606708,33793352,17048951,16744401,9666500,4336539,5329961
