sensor_name,temp,light,humid,input_time
Parm-1,26,6553,55,2025-11-25 11:39:34
Parm-2,25,6777,43,2025-11-25 11:39:34
Parm-3,23,5179,58,2025-11-25 11:39:34
Parm-4,20,5208,63,2025-11-25 11:39:34
Parm-5,24,6803,53,2025-11-25 11:39:34
Parm-1,24,8354,100,2025-11-25 11:39:44
Parm-4,26,8472,91,2025-11-25 11:39:44
Parm-3,28,9565,46,2025-11-25 11:39:44
Parm-2,27,6893,51,2025-11-25 11:39:44
Parm-5,24,5481,53,2025-11-25 11:39:44
Parm-1,28,5678,51,2025-11-25 11:39:54
Parm-4,27,7355,64,2025-11-25 11:39:54
Parm-2,30,9702,60,2025-11-25 11:39:54
Parm-3,25,7951,55,2025-11-25 11:39:54
Parm-5,29,7897,55,2025-11-25 11:39:54
Parm-4,23,7289,53,2025-11-25 11:40:04
Parm-1,26,6664,48,2025-11-25 11:40:04
Parm-5,28,7899,56,2025-11-25 11:40:04
Parm-3,20,5597,55,2025-11-25 11:40:04
Parm-2,23,5446,64,2025-11-25 11:40:04
Parm-1,21,9705,55,2025-11-25 11:40:14
Parm-2,21,6857,44,2025-11-25 11:40:14
Parm-3,26,6689,50,2025-11-25 11:40:14
Parm-5,22,7407,49,2025-11-25 11:40:14
Parm-4,20,8681,52,2025-11-25 11:40:14
Parm-4,21,5629,62,2025-11-25 11:40:24
Parm-5,22,6033,53,2025-11-25 11:40:24
Parm-3,25,9443,68,2025-11-25 11:40:24
Parm-2,21,7147,45,2025-11-25 11:40:24
Parm-1,27,9653,91,2025-11-25 11:40:24
